RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
102001,United States,0,1368,1374,1380,1386,1392,1398,1404,1410,1416,1422,1428,1433,1439,1445,1450,1456,1461,1467,1472,1478,1484,1489,1494,1500,1505,1510,1515,1520,1524,1529,1533,1537,1541,1546,1550,1554,1558,1562,1565,1569,1573,1577,1581,1585,1589,1593,1597,1602,1606,1611,1616,1621,1626,1631,1636,1641,1646,1652,1657,1662,1667,1672,1677,1682,1687,1692,1696,1701,1706,1711,1713,1716,1719,1720,1721,1722,1723,1724,1726,1726,1727,1728
394913,"New York, NY",1,2346,2357,2368,2379,2390,2401,2412,2423,2433,2444,2454,2465,2475,2484,2494,2503,2512,2521,2530,2537,2545,2553,2559,2565,2571,2575,2580,2585,2589,2593,2597,2601,2605,2609,2612,2616,2620,2623,2627,2631,2634,2637,2640,2642,2645,2647,2650,2653,2655,2659,2662,2666,2670,2674,2679,2684,2689,2694,2700,2705,2711,2717,2723,2729,2735,2741,2747,2752,2757,2762,2760,2757,2754,2742,2729,2717,2704,2690,2677,2662,2647,2632
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1872,1885,1899,1912,1925,1939,1952,1965,1978,1991,2003,2016,2028,2039,2051,2062,2074,2086,2097,2109,2121,2134,2146,2158,2170,2181,2193,2205,2215,2226,2236,2247,2257,2267,2276,2286,2296,2306,2315,2324,2333,2342,2350,2359,2367,2375,2383,2391,2399,2408,2416,2425,2433,2442,2451,2460,2468,2477,2484,2492,2500,2507,2514,2521,2528,2534,2541,2547,2553,2559,2561,2564,2566,2565,2565,2565,2565,2564,2563,2562,2561,2560
394463,"Chicago, IL",3,1537,1541,1546,1551,1555,1560,1564,1569,1573,1577,1581,1585,1589,1593,1597,1601,1605,1609,1614,1619,1624,1630,1635,1641,1646,1650,1655,1659,1662,1666,1669,1672,1674,1677,1680,1683,1685,1688,1690,1693,1695,1698,1700,1703,1705,1708,1710,1713,1715,1718,1721,1723,1726,1729,1733,1736,1739,1742,1746,1750,1753,1757,1761,1765,1769,1774,1778,1781,1785,1788,1789,1789,1790,1788,1786,1785,1783,1781,1779,1776,1774,1771
394514,"Dallas-Fort Worth, TX",4,1217,1222,1228,1234,1239,1245,1251,1256,1262,1268,1274,1280,1285,1291,1297,1302,1308,1313,1319,1324,1329,1335,1340,1346,1351,1357,1363,1368,1374,1380,1385,1391,1396,1401,1406,1411,1415,1420,1424,1429,1433,1437,1441,1445,1449,1453,1457,1460,1464,1468,1472,1475,1479,1483,1487,1491,1496,1500,1505,1509,1514,1518,1523,1527,1531,1536,1540,1544,1547,1551,1553,1555,1557,1558,1560,1561,1563,1564,1565,1566,1568,1569
394974,"Philadelphia, PA",5,1359,1362,1364,1367,1369,1371,1374,1376,1379,1381,1384,1387,1390,1393,1396,1399,1403,1406,1409,1413,1417,1420,1424,1428,1431,1435,1438,1442,1445,1449,1452,1456,1459,1462,1465,1468,1470,1473,1475,1477,1479,1481,1483,1485,1487,1489,1492,1495,1499,1502,1506,1510,1514,1519,1523,1528,1532,1537,1541,1545,1549,1554,1558,1562,1566,1571,1575,1579,1583,1587,1589,1592,1594,1596,1598,1600,1602,1603,1605,1607,1608,1610
394692,"Houston, TX",6,1264,1274,1284,1294,1303,1312,1322,1331,1340,1349,1355,1362,1368,1372,1376,1380,1383,1386,1390,1392,1394,1396,1398,1399,1400,1401,1401,1402,1402,1402,1402,1401,1401,1400,1400,1399,1398,1399,1399,1399,1402,1404,1406,1410,1414,1418,1423,1427,1432,1436,1440,1444,1446,1448,1450,1451,1452,1454,1455,1457,1458,1460,1462,1463,1466,1468,1470,1472,1474,1476,1477,1477,1478,1478,1477,1477,1477,1477,1477,1476,1476,1475
395209,"Washington, DC",7,1904,1908,1912,1916,1919,1923,1927,1930,1934,1937,1941,1944,1947,1949,1952,1954,1957,1960,1963,1967,1971,1975,1978,1982,1985,1988,1991,1993,1995,1998,2000,2002,2005,2007,2010,2014,2017,2020,2023,2026,2028,2031,2033,2034,2036,2037,2040,2042,2044,2048,2051,2055,2059,2064,2068,2073,2078,2083,2088,2093,2098,2102,2107,2111,2116,2120,2125,2129,2133,2136,2137,2137,2137,2134,2131,2129,2125,2122,2119,2115,2112,2108
394856,"Miami-Fort Lauderdale, FL",8,1580,1588,1596,1604,1612,1620,1628,1635,1643,1651,1659,1667,1675,1683,1691,1698,1706,1714,1721,1729,1737,1744,1751,1758,1764,1770,1775,1780,1784,1788,1792,1794,1797,1800,1802,1805,1807,1809,1812,1814,1817,1820,1822,1826,1829,1832,1836,1839,1843,1848,1852,1856,1861,1866,1870,1875,1879,1883,1887,1891,1895,1898,1902,1905,1909,1913,1917,1921,1925,1930,1933,1936,1939,1941,1943,1945,1946,1948,1950,1952,1953,1955
394347,"Atlanta, GA",9,1138,1142,1147,1151,1156,1161,1165,1170,1174,1179,1184,1189,1194,1200,1205,1210,1216,1221,1226,1232,1237,1243,1249,1255,1262,1268,1275,1281,1287,1294,1300,1306,1312,1318,1324,1330,1335,1341,1347,1352,1358,1363,1369,1375,1381,1387,1393,1399,1405,1412,1418,1425,1432,1440,1447,1454,1462,1469,1476,1483,1490,1497,1503,1509,1514,1520,1525,1530,1535,1539,1543,1548,1552,1556,1561,1566,1571,1576,1581,1585,1590,1595
