name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
CONTRA LOMA,https://www.luckysupermarkets.com/stores#/5024,3190 CONTRA LOMA BLVD,ANTIOCH,CA,94509,US,925-754-8824,925-754-8585,925-754-8435,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",37.9906053,-121.82391,,,,,
N.CAPITAL,https://www.luckysupermarkets.com/stores#/5025,1641 N. CAPITOL AVE,SAN JOSE,CA,95132,US,408-258-6641,,408-258-0288,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.3966475,-121.87379,,,,,
ANTIOCH,https://www.luckysupermarkets.com/stores#/5026,111 EAST 18TH STREET,ANTIOCH,CA,94509,US,925-754-4540,,925-754-3139,,,,,"Sunday : 06:00AM - 11:00PM, Monday : 06:00AM - 11:00PM, Tuesday : 06:00AM - 11:00PM, Wednesday : 06:00AM - 11:00PM, Thursday : 06:00AM - 11:00PM, Friday : 06:00AM - 11:00PM, Saturday : 06:00AM - 11:00PM",38.0056982,-121.80153,,,,,
MCKEE,https://www.luckysupermarkets.com/stores#/5027,3457 MCKEE ROAD,SAN JOSE,CA,95127,US,408-937-6780,408-937-6032,408-937-0536,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.380943,-121.82932,,,,,
E. PERKINS,https://www.luckysupermarkets.com/stores#/5028,504 EAST PERKINS ST,UKIAH,CA,95482,US,707-462-3843,,707-462-3990,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",39.1523249,-123.20155,,,,,
ALAMEDA,https://www.luckysupermarkets.com/stores#/5029,815 MARINA VILLAGE PKWY,ALAMEDA,CA,94501,US,510-521-9113,,510-521-4050,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.783669,-122.27416,,,,,
CAPITOLA,https://www.luckysupermarkets.com/stores#/5030,1475 41ST AVE,CAPITOLA,CA,95010,US,831-462-6917,,831-462-1138,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",36.9717189,-121.96592,,,,,
CARMEL,https://www.luckysupermarkets.com/stores#/5031,555 CARMEL RANCHO SHOPPING CTR,CARMEL,CA,93923,US,831-624-6459,831-624-7173,831-624-4958,,,,,"Sunday : 06:00AM - 10:00PM, Monday : 06:00AM - 10:00PM, Tuesday : 06:00AM - 10:00PM, Wednesday : 06:00AM - 10:00PM, Thursday : 06:00AM - 10:00PM, Friday : 06:00AM - 10:00PM, Saturday : 06:00AM - 10:00PM",36.5426076,-121.90592,,,,,
CASTRO VALLEY,https://www.luckysupermarkets.com/stores#/5032,3443 CASTRO VALLEY BLVD,CASTRO VALLEY,CA,94546,US,510-581-8636,,510-758-0448,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.6945275,-122.07594,,,,,
ClickCart - CLAYTON RD,https://www.luckysupermarkets.com/stores#/5033,5190 CLAYTON RD,CONCORD,CA,94521,US,925-680-2630,925-680-5121,925-680-4392,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.9536828,-121.96596,,,,,
