,name,address,city,state,postal_code,stars,review_count,is_open,categories
1,"Carlos Santo, NMD","8880 E Via Linda, Ste 107",Scottsdale,AZ,85258,5.0,4,1,"Health & Medical, Fitness & Instruction, Yoga, Active Life, Pilates"
9,Xtreme Couture,700 Kipling Avenue Etobicoke,Toronto,ON,M8Z 5G3,3.0,16,1,"Martial Arts, Gyms, Fitness & Instruction, Active Life"
19,Gateway Fit Body Boot Camp,5229 S Power Rd,Mesa,AZ,85212,4.5,16,1,"Weight Loss Centers, Fitness & Instruction, Boot Camps, Health & Medical, Active Life, Gyms, Trainers, Interval Training Gyms"
56,LA Fitness,7640 W Thomas Rd,Phoenix,AZ,85033,2.5,32,1,"Yoga, Active Life, Trainers, Sports Clubs, Fitness & Instruction, Gyms"
177,Fitness Nation,"991 Matheson Boulevard E, Unit 11",Mississauga,ON,L4W 2V3,4.5,3,1,"Active Life, Boxing, Gyms, Fitness & Instruction, Trainers"
202,Planet Fitness,4488 N Rancho Dr,Las Vegas,NV,89130,3.0,22,1,"Gyms, Active Life, Fitness & Instruction, Trainers"
211,103 Hot Pilates & Yoga,"4245 S Grand Canyon, Ste 118",Las Vegas,NV,89147,4.5,81,1,"Yoga, Pilates, Active Life, Fitness & Instruction, Boot Camps"
263,Victoria Park - Club de Santé,"376 Avenue Victoria, Suite 300",Westmount,QC,H3Z 1C3,4.0,15,1,"Beauty & Spas, Active Life, Medical Spas, Laser Hair Removal, Fitness & Instruction, Health & Medical, Day Spas, Gyms, Hair Removal"
266,Master Shin's World Class Tae Kwon Do,"4055 S Arizona Ave, Ste 2",Chandler,AZ,85248,5.0,10,1,"Taekwondo, Active Life, Martial Arts, Fitness & Instruction"
282,Club Pilates,3750 E Indian School Rd,Phoenix,AZ,85018,4.0,10,1,"Fitness & Instruction, Active Life, Pilates, Trainers, Barre Classes"
353,The Refuge Climbing and Fitness,"6283 S Valley View Blvd, Ste C",Las Vegas,NV,89118,4.0,38,1,"Rock Climbing, Fitness & Instruction, Active Life, Gyms"
